question,context,company,source_file,source_page,kpi_id,year,answer,data_type,relevant_paragraphs,annotator,Index,label
What is the total volume of hydrocarbons production?,Planning the Company’s activities is including the social aspects: ,Tatneft,PJSC Tatneft annual report 2015.pdf,['13'],3.0,2015,27.2 mln tonnes,TEXT,"[""In 2015, the oil production across PJSC TATNEFT totaled
27.2 mln tonnes and was 2.7% higher against previous
year's output level. The oil output has reached its peak
over the last twenty-three years. PJSC TATNEFT produced
26.9 mln tonnes of oil in 2015. The oil production at the
Company's licensed areas within the Russian Federation
outside the Republic of Tatarstan amounted to 322 ths
tonnes (307 ths tonnes in 2014).""]",train_anno_large.xlsx,1764,0
What is the total volume of hydrocarbons production?,"The volume of crude oil production of the TATNEFT Group amounted to 27.2 mln tonnes in the reporting year. The Company is developing deposits of high-viscosity oil as one of the strategic resource assets. The accumulated oil production volume from Ashalchinskoye field exceeded 930 thousand tonnes of HVO since the beginning of the development. Continuous improvement of technologies and introduction of new equipment contribute to maintaining the volume of commercial production at conventional oil fields, as well as to successful development of hard-to-recover oil reserves.",Tatneft,PJSC Tatneft annual report 2015.pdf,['2'],3.0,2015,27.2 mln tonnes,TEXT,"[""The volume of crude oil production of the TATNEFT Group amounted to 27.2 mln tonnes in the reporting year. The
Company is developing deposits of high-viscosity oil as one of the strategic resource assets. The accumulated oil
production volume from Ashalchinskoye field exceeded 930 thousand tonnes of HVO since the beginning of the
development. Continuous improvement of technologies and introduction of new equipment contribute to
maintaining the volume of commercial production at conventional oil fields, as well as to successful development
of hard-to-recover oil reserves.""]",train_anno_large.xlsx,1756,1
What is the total volume of hydrocarbons production?,"Historically, the main resource base of the Company is located within the Republic of Tatarstan, where in 2015 the Company had reached a record high oil production across PJSC TATNEFT over the last two decades in the amount of 26.9 mln tonnes that was up 704 ths tonnes as compared with 2014. Overall, the total oil production across the Group amounted 27.2 mln tonnes. ",Tatneft,PJSC Tatneft annual report 2015.pdf,['8'],3.0,2015,27.2 mln tonnes,TEXT,"[""Historically, the main resource base of the Company is
located within the Republic of Tatarstan, where in 2015 the
Company had reached a record high oil production across
PJSC TATNEFT over the last two decades in the amount of
26.9 mln tonnes that was up 704 ths tonnes as compared
with 2014. Overall, the total oil production across the Group
amounted 27.2 mln tonnes.""]",train_anno_large.xlsx,1757,1
What is the total volume of hydrocarbons production?,"In 2015, the oil production across PJSC TATNEFT totaled 27.2 mln tonnes and was 2.7% higher against previous year's output level. The oil output has reached its peak over the last twenty-three years. PJSC TATNEFT produced 26.9 mln tonnes of oil in 2015. The oil production at the Company's licensed areas within the Russian Federation outside the Republic of Tatarstan amounted to 322 ths tonnes (307 ths tonnes in 2014).",Tatneft,PJSC Tatneft annual report 2015.pdf,['13'],3.0,2015,27.2 mln tonnes,TEXT,"[""In 2015, the oil production across PJSC TATNEFT totaled
27.2 mln tonnes and was 2.7% higher against previous
year's output level. The oil output has reached its peak
over the last twenty-three years. PJSC TATNEFT produced
26.9 mln tonnes of oil in 2015. The oil production at the
Company's licensed areas within the Russian Federation
outside the Republic of Tatarstan amounted to 322 ths
tonnes (307 ths tonnes in 2014).""]",train_anno_large.xlsx,1764,1
What is the company name?,Consolidated shareholders’ equity,Tatneft,PJSC Tatneft annual report 2017.pdf,['2'],0.0,2017,TATNEFT,TEXT,"[""The Company's achievements and outlook were highly rated
by the stock market. Over the course of the year, TATNEFT's
stock price has been among the best performers among
Russian oil and gas companies.""]",train_anno_large.xlsx,1725,0
What is the company name?,"The Company's achievements and outlook were highly rated by the stock market. Over the course of the year, TATNEFT's stock price has been among the best performers among Russian oil and gas companies. ",Tatneft,PJSC Tatneft annual report 2017.pdf,['2'],0.0,2017,TATNEFT,TEXT,"[""The Company's achievements and outlook were highly rated
by the stock market. Over the course of the year, TATNEFT's
stock price has been among the best performers among
Russian oil and gas companies.""]",train_anno_large.xlsx,1725,1
In which year was the annual report or the sustainability report published?,Available for sale financial assets pledged under sale and repurchase agreements comprise of the following:,Tatneft,PJSC Tatneft annual report 2017.pdf,['2'],1.0,2017,2017,TEXT,"[""In 2017, we launched an important stage of our Strategy 2025
that covers all the Company's business units and is aimed at
increasing the Company's value. The key results of the year
included a steady increase in performance indicators along
principal business lines, achievement of current priority target
values and consolidation of the Company's financial stability.""]",train_anno_large.xlsx,1724,0
In which year was the annual report or the sustainability report published?,"DEAR SHAREHOLDERS, INVESTORS, AND PARTNERS: In 2017, we launched an important stage of our Strategy 2025 that covers all the Company's business units and is aimed at increasing the Company's value. The key results of the year included a steady increase in performance indicators along principal business lines, achievement of current priority target values and consolidation of the Company's financial stability.",Tatneft,PJSC Tatneft annual report 2017.pdf,['2'],1.0,2017,2017,TEXT,"[""In 2017, we launched an important stage of our Strategy 2025
that covers all the Company's business units and is aimed at
increasing the Company's value. The key results of the year
included a steady increase in performance indicators along
principal business lines, achievement of current priority target
values and consolidation of the Company's financial stability.""]",train_anno_large.xlsx,1724,1
What is the volume of estimated proven hydrocarbons reserves?,"The Group‘s activities expose it to a variety of financial risks: market risk (including foreign currency risk, interest rate risk and commodity price risk), credit risk and liquidity risk. The Group‘s overall risk management program focuses on the unpredictability of financial markets and seeks to minimize potential adverse effects on the Group‘s financial per- formance. The Group has introduced a risk management system and developed a number of procedures to measure, assess and monitor risks and select the relevant risk management techniques.",Tatneft,PJSC Tatneft annual report 2017.pdf,['18'],2.1,2017,"6,172 million barrels",TEXT,"[""As of December 31, 2017, the volume of proven oil reserves is 6,172 million barrels or 866.5 million tonnes, according
to Miller&Lents, Ltd.""]",train_anno_large.xlsx,1728,0
What is the volume of estimated proven hydrocarbons reserves?,Issues pertaining to preliminary consideration of interested-party transactions and transactions with parties related to TATNEFT that are submitted for approval to the Board of Directors of TATNEFT: 4 issues,Tatneft,PJSC Tatneft annual report 2017.pdf,['18'],2.1,2017,866.5 million tonnes,TEXT,"[""As of December 31, 2017, the volume of proven oil reserves is 6,172 million barrels or 866.5 million tonnes, according
to Miller&Lents, Ltd.""]",train_anno_large.xlsx,1730,0
What is the volume of estimated proven hydrocarbons reserves?,"OUR PLANS EMBRACE CONTINUING EXPANSION AND DIVERSIFICATION OF RESERVES BY OBTAINING ACCESS — INCLUDING BY THE ESTABLISHMENT OF STRATEGIC ALLIANCES — TO OIL AND GAS RESERVES OUTSIDE TATARSTAN. As of December 31, 2017, the volume of proven oil reserves is 6,172 million barrels or 866.5 million tonnes, according to Miller&Lents, Ltd.",Tatneft,PJSC Tatneft annual report 2017.pdf,['18'],2.1,2017,"6,172 million barrels",TEXT,"[""As of December 31, 2017, the volume of proven oil reserves is 6,172 million barrels or 866.5 million tonnes, according
to Miller&Lents, Ltd.""]",train_anno_large.xlsx,1728,1
What is the volume of estimated proven hydrocarbons reserves?,"OUR PLANS EMBRACE CONTINUING EXPANSION AND DIVERSIFICATION OF RESERVES BY OBTAINING ACCESS — INCLUDING BY THE ESTABLISHMENT OF STRATEGIC ALLIANCES — TO OIL AND GAS RESERVES OUTSIDE TATARSTAN. As of December 31, 2017, the volume of proven oil reserves is 6,172 million barrels or 866.5 million tonnes, according to Miller&Lents, Ltd.",Tatneft,PJSC Tatneft annual report 2017.pdf,['18'],2.1,2017,866.5 million tonnes,TEXT,"[""As of December 31, 2017, the volume of proven oil reserves is 6,172 million barrels or 866.5 million tonnes, according
to Miller&Lents, Ltd.""]",train_anno_large.xlsx,1730,1
What is the volume of estimated probable hydrocarbons reserves?,"We are increasing the reliability of our generating capacities to ensure the supply of energy to companies in the Nizhnekamsk industrial hub. The Company is developing programs to diversify its sources of raw materials for the Nizhnekamsk combined heat and power plant, which will help improve its performance.",Tatneft,PJSC Tatneft annual report 2017.pdf,['18'],2.2,2017,356.8 million tonnes,TEXT,"[""As of December 31, 2017, the volume of proven oil reserves is 6,172 million barrels or 866.5 million tonnes, according
to Miller&Lents, Ltd. Probable oil reserves are 356.8 million tonnes. The proven reserves of hydrocarbons are 900.0 million tonnes o.e.""]",train_anno_large.xlsx,1729,0
What is the volume of estimated probable hydrocarbons reserves?,"As of December 31, 2017, the volume of proven oil reserves is 6,172 million barrels or 866.5 million tonnes, according to Miller&Lents, Ltd. Probable oil reserves are 356.8 million tonnes. The proven reserves of hydrocarbons are 900.0 million tonnes o.e.",Tatneft,PJSC Tatneft annual report 2017.pdf,['18'],2.2,2017,356.8 million tonnes,TEXT,"[""As of December 31, 2017, the volume of proven oil reserves is 6,172 million barrels or 866.5 million tonnes, according
to Miller&Lents, Ltd. Probable oil reserves are 356.8 million tonnes. The proven reserves of hydrocarbons are 900.0 million tonnes o.e.""]",train_anno_large.xlsx,1729,1
What is the total volume of hydrocarbons production?,Decrease by 100 basis points,Tatneft,PJSC Tatneft annual report 2017.pdf,['2'],3.0,2017,28.9 million tonnes,TEXT,"[""In the reporting year, TATNEFT Group produced 28.9 million
tonnes of oil. To fulfill OPEC+ commitments, the Company
held down the rate of production growth reached in previous
years. Given that its vast hydrocarbon reserves are among the
largest in Russia, TATNEFT has the potential to ramp up oil
production. In addition to increasing oil production in mature
fields, the Company is researching and developing methods to
extract unconventional hard-to-recover resources (including
Domanic productive deposits) from the subsoil. Successful
development of super-viscous oil deposits is continuing.""]",train_anno_large.xlsx,1726,0
What is the total volume of hydrocarbons production?,"Information about decisions made by the General Shareholders’ Meeting of the Company regarding payment (announcement) of dividends, their amount, and payment procedure shall be published on the official website of the Company at tatneft.ru in Russian and in English, as well as on the website of the information agency authorized to disclose information of the Company.",Tatneft,PJSC Tatneft annual report 2017.pdf,['20'],3.0,2017,28.9 million tonnes,TEXT,"[""The Group's oil production amounted to 28.9 million
tonnes, which is 0.9% higher than in 2016. Gas
production in 2017 amounted to 945.3 million m3.""]",train_anno_large.xlsx,1727,0
What is the total volume of hydrocarbons production?,"In the reporting year, TATNEFT Group produced 28.9 million tonnes of oil. To fulfill OPEC+ commitments, the Company held down the rate of production growth reached in previous years. Given that its vast hydrocarbon reserves are among the largest in Russia, TATNEFT has the potential to ramp up oil production. In addition to increasing oil production in mature fields, the Company is researching and developing methods to extract unconventional hard-to-recover resources (including Domanic productive deposits) from the subsoil. Successful development of super-viscous oil deposits is continuing.",Tatneft,PJSC Tatneft annual report 2017.pdf,['2'],3.0,2017,28.9 million tonnes,TEXT,"[""In the reporting year, TATNEFT Group produced 28.9 million
tonnes of oil. To fulfill OPEC+ commitments, the Company
held down the rate of production growth reached in previous
years. Given that its vast hydrocarbon reserves are among the
largest in Russia, TATNEFT has the potential to ramp up oil
production. In addition to increasing oil production in mature
fields, the Company is researching and developing methods to
extract unconventional hard-to-recover resources (including
Domanic productive deposits) from the subsoil. Successful
development of super-viscous oil deposits is continuing.""]",train_anno_large.xlsx,1726,1
What is the total volume of hydrocarbons production?,"The Group's oil production amounted to 28.9 million tonnes, which is 0.9% higher than in 2016. Gas production in 2017 amounted to 945.3 million m3.",Tatneft,PJSC Tatneft annual report 2017.pdf,['20'],3.0,2017,28.9 million tonnes,TEXT,"[""The Group's oil production amounted to 28.9 million
tonnes, which is 0.9% higher than in 2016. Gas
production in 2017 amounted to 945.3 million m3.""]",train_anno_large.xlsx,1727,1
What is the company name?, Preparing a polymer flooding ,"Aktsionernoe Obshchestvo Rosneftegaz, Moscow",RN_SR2018_eng_web_1 sustainability 2017.pdf,['0'],0.0,2017,Rosneft,TEXT,"[""ROSNEFT""]",train_anno_large.xlsx,315,0
What is the company name?,ROSNEFT,"Aktsionernoe Obshchestvo Rosneftegaz, Moscow",RN_SR2018_eng_web_1 sustainability 2017.pdf,['0'],0.0,2017,Rosneft,TEXT,"[""ROSNEFT""]",train_anno_large.xlsx,315,1
In which year was the annual report or the sustainability report published?, Reports on the implementation ,"Aktsionernoe Obshchestvo Rosneftegaz, Moscow",RN_SR2018_eng_web_1 sustainability 2017.pdf,['0'],1.0,2017,2017,TEXT,"[""SUSTAINABILITY REPORT 2017""]",train_anno_large.xlsx,316,0
In which year was the annual report or the sustainability report published?,SUSTAINABILITY REPORT 2017,"Aktsionernoe Obshchestvo Rosneftegaz, Moscow",RN_SR2018_eng_web_1 sustainability 2017.pdf,['0'],1.0,2017,2017,TEXT,"[""SUSTAINABILITY REPORT 2017""]",train_anno_large.xlsx,316,1
What is the volume of estimated proven hydrocarbons reserves?,ROSNEFT SUSTAINABILITY REPORT 2017,"Aktsionernoe Obshchestvo Rosneftegaz, Moscow",RN_SR2018_eng_web_1 sustainability 2017.pdf,['17'],2.1,2017,"39,907 mboe",TEXT,"[""As in previous years, Rosneft tops the list of the world's public companies in terms of proven (1P) SEC reserves, with 39,907 mboe20 of hydrocarbon reserves at the end of 2017 and the reserves-to-production ratio of roughly 20 years.""]",train_anno_large.xlsx,317,0
What is the volume of estimated proven hydrocarbons reserves?,"Key impacts, risks, and opportunities Message from Rosneft’s Chief ","Aktsionernoe Obshchestvo Rosneftegaz, Moscow",RN_SR2018_eng_web_1 sustainability 2017.pdf,['17'],2.1,2017,"39,907 mboe",TEXT,"[""According to the results of the audit performed by DeGolyer & MacNaughton under the SEC (United States Securities and Exchange Commission) life-of-field classification, Rosneft proven hydrocarbon reserves as of 31 December 2017 stood at 39,907 mboe (5,395 mmtoe)""]",train_anno_large.xlsx,318,0
What is the volume of estimated proven hydrocarbons reserves?,"As in previous years, Rosneft tops the list of the world's public companies in terms of proven (1P) SEC reserves, with 39,907 mboe20 of hydrocarbon reserves at the end of 2017 and the reserves-to-production ratio of roughly 20 years.","Aktsionernoe Obshchestvo Rosneftegaz, Moscow",RN_SR2018_eng_web_1 sustainability 2017.pdf,['17'],2.1,2017,"39,907 mboe",TEXT,"[""As in previous years, Rosneft tops the list of the world's public companies in terms of proven (1P) SEC reserves, with 39,907 mboe20 of hydrocarbon reserves at the end of 2017 and the reserves-to-production ratio of roughly 20 years.""]",train_anno_large.xlsx,317,1
What is the volume of estimated proven hydrocarbons reserves?,"According to the results of the audit performed by DeGolyer & MacNaughton under the SEC (United States Securities and Exchange Commission) life-of-field classification, Rosneft proven hydrocarbon reserves as of 31 December 2017 stood at 39,907 mboe (5,395 mmtoe)","Aktsionernoe Obshchestvo Rosneftegaz, Moscow",RN_SR2018_eng_web_1 sustainability 2017.pdf,['17'],2.1,2017,"39,907 mboe",TEXT,"[""According to the results of the audit performed by DeGolyer & MacNaughton under the SEC (United States Securities and Exchange Commission) life-of-field classification, Rosneft proven hydrocarbon reserves as of 31 December 2017 stood at 39,907 mboe (5,395 mmtoe)""]",train_anno_large.xlsx,318,1
What is the total amount of direct greenhouse gases emissions referred to as scope 1 emissions?,"HSE knowledge and achievements are highly appreciated across the Company, which reaps benefits from their good management.","Aktsionernoe Obshchestvo Rosneftegaz, Moscow",RN_SR2018_eng_web_1 sustainability 2017.pdf,['83'],6.0,2017,53.5 million tonnes of CO2 equivalents,TEXT,"[""In 2017, Rosneft's greenhouse gas emissions totaled 75.5 million tonnes of CO2 equivalents, with direct emissions42 standing at 53.5 million tonnes of CO2 equivalents and indirect emissions from the consumption of purchased electricity and heat43 at 22.0 million tonnes of CO2 equivalents.""]",train_anno_large.xlsx,322,0
What is the total amount of direct greenhouse gases emissions referred to as scope 1 emissions?,"In 2017, Rosneft's greenhouse gas emissions totaled 75.5 million tonnes of CO2 equivalents, with direct emissions42 standing at 53.5 million tonnes of CO2 equivalents and indirect emissions from the consumption of purchased electricity and heat43 at 22.0 million tonnes of CO2 equivalents.","Aktsionernoe Obshchestvo Rosneftegaz, Moscow",RN_SR2018_eng_web_1 sustainability 2017.pdf,['83'],6.0,2017,53.5 million tonnes of CO2 equivalents,TEXT,"[""In 2017, Rosneft's greenhouse gas emissions totaled 75.5 million tonnes of CO2 equivalents, with direct emissions42 standing at 53.5 million tonnes of CO2 equivalents and indirect emissions from the consumption of purchased electricity and heat43 at 22.0 million tonnes of CO2 equivalents.""]",train_anno_large.xlsx,322,1
What is the total amount of energy indirect greenhouse gases emissions referred to as scope 2 emissions?,Identifying and selecting stakeholders,"Aktsionernoe Obshchestvo Rosneftegaz, Moscow",RN_SR2018_eng_web_1 sustainability 2017.pdf,['83'],7.0,2017,22.0 million tonnes of CO2 equivalents,TEXT,"[""In 2017, Rosneft's greenhouse gas emissions totaled 75.5 million tonnes of CO2 equivalents, with direct emissions42 standing at 53.5 million tonnes of CO2 equivalents and indirect emissions from the consumption of purchased electricity and heat43 at 22.0 million tonnes of CO2 equivalents.""]",train_anno_large.xlsx,323,0
What is the total amount of energy indirect greenhouse gases emissions referred to as scope 2 emissions?,"In 2017, Rosneft's greenhouse gas emissions totaled 75.5 million tonnes of CO2 equivalents, with direct emissions42 standing at 53.5 million tonnes of CO2 equivalents and indirect emissions from the consumption of purchased electricity and heat43 at 22.0 million tonnes of CO2 equivalents.","Aktsionernoe Obshchestvo Rosneftegaz, Moscow",RN_SR2018_eng_web_1 sustainability 2017.pdf,['83'],7.0,2017,22.0 million tonnes of CO2 equivalents,TEXT,"[""In 2017, Rosneft's greenhouse gas emissions totaled 75.5 million tonnes of CO2 equivalents, with direct emissions42 standing at 53.5 million tonnes of CO2 equivalents and indirect emissions from the consumption of purchased electricity and heat43 at 22.0 million tonnes of CO2 equivalents.""]",train_anno_large.xlsx,323,1
What is the total amount of upstream energy indirect greenhouse gases emissions referred to as scope 3 emissions?,"Nitrogen oxides (NOX), sulfur oxides (SOX), and other significant air emissions","Aktsionernoe Obshchestvo Rosneftegaz, Moscow",RN_SR2018_eng_web_1 sustainability 2017.pdf,['83'],8.0,2017,207 million tonnes of CO2 equivalents,TEXT,"[""Indirect use-phase emissions from products sold by the Company totaled 207 million tonnes of CO2 equivalents44.""]",train_anno_large.xlsx,324,0
What is the total amount of upstream energy indirect greenhouse gases emissions referred to as scope 3 emissions?,Indirect use-phase emissions from products sold by the Company totaled 207 million tonnes of CO2 equivalents44.,"Aktsionernoe Obshchestvo Rosneftegaz, Moscow",RN_SR2018_eng_web_1 sustainability 2017.pdf,['83'],8.0,2017,207 million tonnes of CO2 equivalents,TEXT,"[""Indirect use-phase emissions from products sold by the Company totaled 207 million tonnes of CO2 equivalents44.""]",train_anno_large.xlsx,324,1
What is the total amount of scope 1 and 2 greenhouse gases emissions?,Key actions to achieve the strategic objectives include:,"Aktsionernoe Obshchestvo Rosneftegaz, Moscow",RN_SR2018_eng_web_1 sustainability 2017.pdf,['83'],13.0,2017,75.5 million tonnes of CO2 equivalents,TEXT,"[""In 2017, Rosneft's greenhouse gas emissions totaled 75.5 million tonnes of CO2 equivalents, with direct emissions42 standing at 53.5 million tonnes of CO2 equivalents and indirect emissions from the consumption of purchased electricity and heat43 at 22.0 million tonnes of CO2 equivalents.""]",train_anno_large.xlsx,325,0
What is the total amount of scope 1 and 2 greenhouse gases emissions?,"In 2017, Rosneft's greenhouse gas emissions totaled 75.5 million tonnes of CO2 equivalents, with direct emissions42 standing at 53.5 million tonnes of CO2 equivalents and indirect emissions from the consumption of purchased electricity and heat43 at 22.0 million tonnes of CO2 equivalents.","Aktsionernoe Obshchestvo Rosneftegaz, Moscow",RN_SR2018_eng_web_1 sustainability 2017.pdf,['83'],13.0,2017,75.5 million tonnes of CO2 equivalents,TEXT,"[""In 2017, Rosneft's greenhouse gas emissions totaled 75.5 million tonnes of CO2 equivalents, with direct emissions42 standing at 53.5 million tonnes of CO2 equivalents and indirect emissions from the consumption of purchased electricity and heat43 at 22.0 million tonnes of CO2 equivalents.""]",train_anno_large.xlsx,325,1
In which year was the annual report or the sustainability report published?,"Investing in developing skills In line with other corporate programmes aimed at increasing internal skills, the ‘Job Rotation Programme’ was launched in 2016 aimed at developing the inter-functional mobility of resources.",Saipem SpA,SAIPEM SUSTAINABILITY 2016.pdf,['0'],1.0,2016,2016,TEXT,"[""saipem
sustainability
2016""]",train_anno_large.xlsx,60,0
In which year was the annual report or the sustainability report published?,saipem sustainability 2016,Saipem SpA,SAIPEM SUSTAINABILITY 2016.pdf,['0'],1.0,2016,2016,TEXT,"[""saipem
sustainability
2016""]",train_anno_large.xlsx,60,1
What is the total amount of direct greenhouse gases emissions referred to as scope 1 emissions?,"In 2014, Saipem published a Management System Guideline (MSG) entitled ‘Sustainability stakeholder engagement and community relations’, defining the methods to be followed in the process aimed at taking into account stakeholders’ interests on matters regarding sustainability. This method includes the ability both to listen to stakeholders and engage them with a customised approach with a view to strengthening the relationship and reinforcing Saipem’s licence to operate in local areas.",Saipem SpA,SAIPEM SUSTAINABILITY 2016.pdf,['9'],6.0,2016,"1,203.4",TEXT,"[""0.20
LOST TIME INJURY
FREQUENCY RATE
1,203.4
SCOPE 1 EMISSION (KT CO2 EQ)
38.9
SCOPE 2 EMISSION (KT CO2 EQ)""]",train_anno_large.xlsx,61,0
What is the total amount of direct greenhouse gases emissions referred to as scope 1 emissions?,A comprehensive asset integrity management system . . . . . page 22,Saipem SpA,SAIPEM SUSTAINABILITY 2016.pdf,['32'],6.0,2016,"1,203.4
kt Co2 eq",TEXT,"[""In 2016, the total value of Saipem Scope 1 emission was 1,203.4
kt Co2 eq (1,504.2 in 2015 and 1,420.1 in 2014). Regarding the
scope 2 emissions the total value was 38.9 kt CO2 eq.""]",train_anno_large.xlsx,63,0
What is the total amount of direct greenhouse gases emissions referred to as scope 1 emissions?,Total number of training man-hours delivered since 2013,Saipem SpA,SAIPEM SUSTAINABILITY 2016.pdf,['32'],6.0,2015,"1,504.2",TEXT,"[""In 2016, the total value of Saipem Scope 1 emission was 1,203.4
kt Co2 eq (1,504.2 in 2015 and 1,420.1 in 2014). Regarding the
scope 2 emissions the total value was 38.9 kt CO2 eq.""]",train_anno_large.xlsx,65,0
What is the total amount of direct greenhouse gases emissions referred to as scope 1 emissions?,"• Engagement of local vendors to participate in development programmes in Chile, the Congo and Kazakhstan.",Saipem SpA,SAIPEM SUSTAINABILITY 2016.pdf,['32'],6.0,2014,"1,420.1",TEXT,"[""In 2016, the total value of Saipem Scope 1 emission was 1,203.4
kt Co2 eq (1,504.2 in 2015 and 1,420.1 in 2014). Regarding the
scope 2 emissions the total value was 38.9 kt CO2 eq.""]",train_anno_large.xlsx,66,0
What is the total amount of direct greenhouse gases emissions referred to as scope 1 emissions?,"0.20 LOST TIME INJURY FREQUENCY RATE 1,203.4 SCOPE 1 EMISSION (KT CO2 EQ) 38.9 SCOPE 2 EMISSION (KT CO2 EQ)",Saipem SpA,SAIPEM SUSTAINABILITY 2016.pdf,['9'],6.0,2016,"1,203.4",TEXT,"[""0.20
LOST TIME INJURY
FREQUENCY RATE
1,203.4
SCOPE 1 EMISSION (KT CO2 EQ)
38.9
SCOPE 2 EMISSION (KT CO2 EQ)""]",train_anno_large.xlsx,61,1
What is the total amount of direct greenhouse gases emissions referred to as scope 1 emissions?,"In 2016, the total value of Saipem Scope 1 emission was 1,203.4 kt Co2 eq (1,504.2 in 2015 and 1,420.1 in 2014). Regarding the scope 2 emissions the total value was 38.9 kt CO2 eq. Further details on this performance can be found in the ‘Sustainability Statements’ of the Annual Report 2016.",Saipem SpA,SAIPEM SUSTAINABILITY 2016.pdf,['32'],6.0,2016,"1,203.4
kt Co2 eq",TEXT,"[""In 2016, the total value of Saipem Scope 1 emission was 1,203.4
kt Co2 eq (1,504.2 in 2015 and 1,420.1 in 2014). Regarding the
scope 2 emissions the total value was 38.9 kt CO2 eq.""]",train_anno_large.xlsx,63,1
What is the total amount of direct greenhouse gases emissions referred to as scope 1 emissions?,"In 2016, the total value of Saipem Scope 1 emission was 1,203.4 kt Co2 eq (1,504.2 in 2015 and 1,420.1 in 2014). Regarding the scope 2 emissions the total value was 38.9 kt CO2 eq. Further details on this performance can be found in the ‘Sustainability Statements’ of the Annual Report 2016.",Saipem SpA,SAIPEM SUSTAINABILITY 2016.pdf,['32'],6.0,2015,"1,504.2",TEXT,"[""In 2016, the total value of Saipem Scope 1 emission was 1,203.4
kt Co2 eq (1,504.2 in 2015 and 1,420.1 in 2014). Regarding the
scope 2 emissions the total value was 38.9 kt CO2 eq.""]",train_anno_large.xlsx,65,1
What is the total amount of direct greenhouse gases emissions referred to as scope 1 emissions?,"In 2016, the total value of Saipem Scope 1 emission was 1,203.4 kt Co2 eq (1,504.2 in 2015 and 1,420.1 in 2014). Regarding the scope 2 emissions the total value was 38.9 kt CO2 eq. Further details on this performance can be found in the ‘Sustainability Statements’ of the Annual Report 2016.",Saipem SpA,SAIPEM SUSTAINABILITY 2016.pdf,['32'],6.0,2014,"1,420.1",TEXT,"[""In 2016, the total value of Saipem Scope 1 emission was 1,203.4
kt Co2 eq (1,504.2 in 2015 and 1,420.1 in 2014). Regarding the
scope 2 emissions the total value was 38.9 kt CO2 eq.""]",train_anno_large.xlsx,66,1
What is the total amount of energy indirect greenhouse gases emissions referred to as scope 2 emissions?,"COMMITMENT, RESULTS AND OBJECTIVES",Saipem SpA,SAIPEM SUSTAINABILITY 2016.pdf,['9'],7.0,2016,38.9,TEXT,"[""0.20
LOST TIME INJURY
FREQUENCY RATE
1,203.4
SCOPE 1 EMISSION (KT CO2 EQ)
38.9
SCOPE 2 EMISSION (KT CO2 EQ)""]",train_anno_large.xlsx,62,0
What is the total amount of energy indirect greenhouse gases emissions referred to as scope 2 emissions?,Countries where local supplier development projects were implemented,Saipem SpA,SAIPEM SUSTAINABILITY 2016.pdf,['32'],7.0,2016,38.9 kt CO2 eq,TEXT,"[""In 2016, the total value of Saipem Scope 1 emission was 1,203.4
kt Co2 eq (1,504.2 in 2015 and 1,420.1 in 2014). Regarding the
scope 2 emissions the total value was 38.9 kt CO2 eq.""]",train_anno_large.xlsx,64,0
What is the total amount of energy indirect greenhouse gases emissions referred to as scope 2 emissions?,"0.20 LOST TIME INJURY FREQUENCY RATE 1,203.4 SCOPE 1 EMISSION (KT CO2 EQ) 38.9 SCOPE 2 EMISSION (KT CO2 EQ)",Saipem SpA,SAIPEM SUSTAINABILITY 2016.pdf,['9'],7.0,2016,38.9,TEXT,"[""0.20
LOST TIME INJURY
FREQUENCY RATE
1,203.4
SCOPE 1 EMISSION (KT CO2 EQ)
38.9
SCOPE 2 EMISSION (KT CO2 EQ)""]",train_anno_large.xlsx,62,1
What is the total amount of energy indirect greenhouse gases emissions referred to as scope 2 emissions?,"In 2016, the total value of Saipem Scope 1 emission was 1,203.4 kt Co2 eq (1,504.2 in 2015 and 1,420.1 in 2014). Regarding the scope 2 emissions the total value was 38.9 kt CO2 eq. Further details on this performance can be found in the ‘Sustainability Statements’ of the Annual Report 2016.",Saipem SpA,SAIPEM SUSTAINABILITY 2016.pdf,['32'],7.0,2016,38.9 kt CO2 eq,TEXT,"[""In 2016, the total value of Saipem Scope 1 emission was 1,203.4
kt Co2 eq (1,504.2 in 2015 and 1,420.1 in 2014). Regarding the
scope 2 emissions the total value was 38.9 kt CO2 eq.""]",train_anno_large.xlsx,64,1
What is the company name?,Abbreviations and Glossary Page 103,OMV,Sustainability Report 2012_EN.pdf,['1'],0.0,2012,OMV,TEXT,"[""OMV Sustainability Report 2012 The OMV Sustainability Report covers the 2012 business year and describes our sustainability performance and relevant data""]",train_anno_large.xlsx,1180,0
What is the company name?,3 Romania: Data covers Petrom excluding temporary agency workers.,OMV,Sustainability Report 2012_EN.pdf,['105'],0.0,2012,OMV Aktiengesellschaft,TEXT,"[""Owner and publisher: OMV Aktiengesellschaft Trabrennstrasse 6-8 1020 Vienna, Austria info.sustainability@omv.com""]",train_anno_large.xlsx,1205,0
What is the company name?,"OMV Sustainability Report 2012 The OMV Sustainability Report covers the 2012 business year and describes our sustainability performance and relevant data. It describes how we integrate environmental, social, and economic considerations into our business and introduces OMV’s Resourcefulness concept, which is at thecenter of our sustainability approach.",OMV,Sustainability Report 2012_EN.pdf,['1'],0.0,2012,OMV,TEXT,"[""OMV Sustainability Report 2012 The OMV Sustainability Report covers the 2012 business year and describes our sustainability performance and relevant data""]",train_anno_large.xlsx,1180,1
